productCode	 colorId
MBL267	635
MBL267	634
MBL266	633
MBL265	632
MBL259	631
MBL259	616
MBL259	629
MBL259	630
MBL264	628
MBL264	627
MBL255	610
MBL255	609
MBL262	622
MBL262	621
MBL260	618
MBL260	617
MBL263	624
MBL263	623
MBL261	620
MBL261	619
MBL258	614
MBL257	613
MBL256	612
MBL256	611
MBL254	607
MBL254	606
MBL253	603
MBL253	602
MBL252	601
MBL251	599
MBL251	597
MBL251	598
MBL250	596
MBL250	595
MBL249	594
MBL249	592
MBL249	593
MBL248	591
MBL248	589
MBL248	590
MBL247	588
MBL247	586
MBL247	587
MBL246	582
MBL246	581
MBL196	482
MBL204	494
MBL244	574
MBL243	573
MBL243	572
MBL245	578
MBL241	569
MBL240	567
MBL240	566
MBL239	563
MBL238	561
MBL237	559
MBL237	557
MBL237	558
MBL236	556
MBL236	555
MBL235	553
MBL234	551
MBL234	550
MBL233	549
MBL232	547
MBL231	546
MBL230	545
MBL229	543
MBL228	541
MBL227	540
MBL225	537
MBL225	536
MBL224	535
MBL222	533
MBL222	532
MBL221	531
MBL221	530
MBL220	529
MBL220	527
MBL220	528
MBL219	526
MBL219	525
MBL212	512
MBL203	493
MBL191	473
MBL191	472
MBL205	501
MBL205	495
MBL205	496
MBL205	497
MBL205	498
MBL205	499
MBL205	500
MBL189	469
MBL208	506
MBL177	452
MBL216	517
MBL183	461
MBL209	508
MBL190	470
MBL197	484
MBL193	476
MBL184	462
MBL185	463
MBL179	455
MBL180	456
MBL083	218
MBL182	460
MBL170	445
MBL161	404
MBL161	403
MBL159	405
MBL176	451
MBL176	449
MBL176	450
MBL124	468
MBL124	319
MBL125	321
MBL137	364
MBL037	338
MBL037	93
MBL037	95
MBL032	73
MBL032	71
MBL032	72
MBL128	480
MBL128	325
MBL105	256
MBL106	257
MBL129	327
MBL129	326
MBL113	310
MBL113	278
MBL120	322
MBL120	311
MBL116	299
MBL111	274
MBL111	272
MBL111	273
MBL088	229
MBL061	160
MBL061	159
MBL060	158
MBL060	157
MBL115	298
MBL039	302
MBL039	101
MBL039	102
MBL036	474
MBL036	90
MBL036	91
MBL036	188
MBL035	600
MBL035	85
MBL035	86
MBL035	87
MBL035	89
MBL035	538
MBL035	575
MBL035	576
MBL028	554
MBL028	32
MBL022	407
MBL022	61
MBL022	395
MBL022	396
