productCode	 colorId	productSize	productStock
MBL267	635	 S	50
MBL267	635	  M	50
MBL267	635	  L	50
MBL267	634	 S	50
MBL267	634	  M	50
MBL267	634	  L	50
MBL266	633	 S	50
MBL266	633	  M	50
MBL266	633	  L	50
MBL265	632	 S	50
MBL265	632	  M	50
MBL265	632	  L	50
MBL259	631	 M	50
MBL259	631	  L	50
MBL259	631	  XL	50
MBL259	631	  2XL	50
MBL259	616	 M	50
MBL259	616	  L	50
MBL259	616	  XL	50
MBL259	616	  2XL	50
MBL259	629	 M	50
MBL259	629	  L	50
MBL259	629	  XL	50
MBL259	629	  2XL	50
MBL259	630	 M	50
MBL259	630	  L	50
MBL259	630	  XL	50
MBL259	630	  2XL	50
MBL264	628	 S	50
MBL264	628	  M	50
MBL264	628	  L	50
MBL264	627	 S	50
MBL264	627	  M	50
MBL264	627	  L	50
MBL255	610	 M	50
MBL255	610	  L	50
MBL255	609	 M	50
MBL255	609	  L	50
MBL262	622	 L	50
MBL262	622	  XL	50
MBL262	622	  2XL	50
MBL262	621	 L	50
MBL262	621	  XL	50
MBL262	621	  2XL	50
MBL260	618	 L	50
MBL260	618	  XL	50
MBL260	618	  2XL	50
MBL260	617	 L	50
MBL260	617	  XL	50
MBL260	617	  2XL	50
MBL263	624	 M	50
MBL263	624	  L	50
MBL263	624	  XL	50
MBL263	624	  2XL	50
MBL263	623	 M	50
MBL263	623	  L	50
MBL263	623	  XL	50
MBL263	623	  2XL	50
MBL261	620	 S	50
MBL261	620	  M	50
MBL261	620	  L	50
MBL261	619	 S	50
MBL261	619	  M	50
MBL261	619	  L	50
MBL258	614	 S	50
MBL258	614	  M	50
MBL258	614	  L	50
MBL257	613	 S	50
MBL257	613	  M	50
MBL257	613	  L	50
MBL256	612	 S	50
MBL256	612	  M	50
MBL256	612	  L	50
MBL256	611	 S	50
MBL256	611	  M	50
MBL256	611	  L	50
MBL254	607	 S	50
MBL254	607	  M	50
MBL254	607	  L	50
MBL254	606	 S	50
MBL254	606	  M	50
MBL254	606	  L	50
MBL253	603	 S	50
MBL253	603	  M	50
MBL253	603	  L	50
MBL253	602	 S	50
MBL253	602	  M	50
MBL253	602	  L	50
MBL252	601	 M	50
MBL252	601	  L	50
MBL252	601	  XL	50
MBL252	601	  2XL	50
MBL252	601	  3XL	50
MBL251	599	 S	50
MBL251	599	  M	50
MBL251	599	  L	50
MBL251	597	 S	50
MBL251	597	  M	50
MBL251	597	  L	50
MBL251	598	 S	50
MBL251	598	  M	50
MBL251	598	  L	50
MBL250	596	 S	50
MBL250	596	  M	50
MBL250	596	  L	50
MBL250	595	 S	50
MBL250	595	  M	50
MBL250	595	  L	50
MBL249	594	 S	50
MBL249	594	  M	50
MBL249	594	  L	50
MBL249	592	 S	50
MBL249	592	  M	50
MBL249	592	  L	50
MBL249	593	 S	50
MBL249	593	  M	50
MBL249	593	  L	50
MBL248	591	 S	50
MBL248	591	  M	50
MBL248	591	  L	50
MBL248	589	 S	50
MBL248	589	  M	50
MBL248	589	  L	50
MBL248	590	 S	50
MBL248	590	  M	50
MBL248	590	  L	50
MBL247	588	 S	50
MBL247	588	  M	50
MBL247	588	  L	50
MBL247	586	 S	50
MBL247	586	  M	50
MBL247	586	  L	50
MBL247	587	 S	50
MBL247	587	  M	50
MBL247	587	  L	50
MBL246	582	 M	50
MBL246	582	  L	50
MBL246	581	 M	50
MBL246	581	  L	50
MBL196	482	 M	50
MBL196	482	  L	50
MBL204	494	 M	50
MBL204	494	  L	50
MBL244	574	 Freesize	50
MBL243	573	 M	50
MBL243	573	  L	50
MBL243	572	 M	50
MBL243	572	  L	50
MBL245	578	 M	50
MBL245	578	  L	50
MBL245	578	  XL	50
MBL241	569	 M	50
MBL241	569	  L	50
MBL240	567	 M	50
MBL240	567	  L	50
MBL240	566	 M	50
MBL240	566	  L	50
MBL239	563	 M	50
MBL239	563	  L	50
MBL238	561	 M	50
MBL238	561	  L	50
MBL237	559	 S	50
MBL237	559	  M	50
MBL237	559	  L	50
MBL237	557	 S	50
MBL237	557	  M	50
MBL237	557	  L	50
